start_i,center_i,ms,goertzel_x1000
0,64.0,4.0,596.6252484468608
4,68.0,4.25,612.0834281368284
8,72.0,4.5,535.8182890328553
12,76.0,4.75,436.60983632375564
16,80.0,5.0,459.0160800146177
20,84.0,5.25,450.41761128100876
24,88.0,5.5,495.33744176461863
28,92.0,5.75,456.7465862741878
32,96.0,6.0,291.3400987928174
36,100.0,6.25,292.7491557695103
40,104.0,6.5,443.40406913982486
44,108.0,6.75,421.55126451464884
48,112.0,7.0,380.7121182744055
52,116.0,7.25,233.33137773370606
56,120.0,7.5,192.646820631493
60,124.0,7.75,367.7805632117313
64,128.0,8.0,439.79767959221294
68,132.0,8.25,335.1829757950655
72,136.0,8.5,245.0166548196318
76,140.0,8.75,73.48115582990312
80,144.0,9.0,234.45454153499492
84,148.0,9.25,331.0147218894719
88,152.0,9.5,355.08446325641535
92,156.0,9.75,93.14024213511644
96,160.0,10.0,97.39897898239983
100,164.0,10.25,228.20548119482322
104,168.0,10.5,176.37079309566712
108,172.0,10.75,72.3128596698907
112,176.0,11.0,215.3371413901455
116,180.0,11.25,292.0214625786251
120,184.0,11.5,221.08461843588555
124,188.0,11.75,99.43531607228034
128,192.0,12.0,378.260534424568
132,196.0,12.25,669.0081505113785
136,200.0,12.5,1523.0676302184418
140,204.0,12.75,1300.3585073270922
144,208.0,13.0,862.5693283472502
148,212.0,13.25,307.12198399926444
152,216.0,13.5,1030.3710815958511
156,220.0,13.75,1900.1336504301066
160,224.0,14.0,1573.9527311627096
164,228.0,14.25,1047.7945374342266
168,232.0,14.5,476.1688271202047
172,236.0,14.75,1362.98025557772
176,240.0,15.0,2250.118493696128
180,244.0,15.25,1825.3054932958603
184,248.0,15.5,1200.1910967546446
188,252.0,15.75,769.3888159405822
192,256.0,16.0,1771.9956903340449
196,260.0,16.25,2594.115335400182
200,264.0,16.5,2053.206275377813
204,268.0,16.75,1475.056820389585
208,272.0,17.0,1009.9063801068315
212,276.0,17.25,2061.820648776194
216,280.0,17.5,2872.279070416788
220,284.0,17.75,2212.890025814473
224,288.0,18.0,1626.5176246490948
228,292.0,18.25,1351.8886362755525
232,296.0,18.5,2339.2962929821324
236,300.0,18.75,3200.4570608954423
240,304.0,19.0,2646.9342951480494
244,308.0,19.25,2016.8133661246866
248,312.0,19.5,1640.3263615037915
252,316.0,19.75,2822.1909567151943
256,320.0,20.0,3798.6618269107635
260,324.0,20.25,2175.197446942563
264,328.0,20.5,1073.2092451309493
268,332.0,20.75,1751.2695205575872
272,336.0,21.0,2454.6822593925913
276,340.0,21.25,3631.0795295986027
280,344.0,21.5,2310.3191255757924
284,348.0,21.75,1225.9172623318077
288,352.0,22.0,1692.7064202632923
292,356.0,22.25,2456.7744977953375
296,360.0,22.5,3668.2078479378833
300,364.0,22.75,2365.1139867630204
304,368.0,23.0,1325.2130093974774
308,372.0,23.25,1667.3297909893236
312,376.0,23.5,2474.023910255257
316,380.0,23.75,3539.53593662535
320,384.0,24.0,2355.449834369477
324,388.0,24.25,1589.3722951954471
328,392.0,24.5,1721.608369817464
332,396.0,24.75,2490.1966826047833
336,400.0,25.0,3721.946078930752
340,404.0,25.25,2415.688770426109
344,408.0,25.5,1620.0972252801866
348,412.0,25.75,1731.5800477245218
352,416.0,26.0,2559.926055861265
356,420.0,26.25,3584.4468683871337
360,424.0,26.5,2470.5587363005766
364,428.0,26.75,1788.4646185814427
368,432.0,27.0,1736.880817685837
372,436.0,27.25,2502.0845542908846
376,440.0,27.5,3467.1296286017955
380,444.0,27.75,2326.9188302113935
384,448.0,28.0,1668.5392107865007
388,452.0,28.25,2474.5645277195536
392,456.0,28.5,2664.7714954560624
396,460.0,28.75,2561.153863210992
400,464.0,29.0,2537.886973726328
404,468.0,29.25,1770.878375172454
408,472.0,29.5,2288.9372256427514
412,476.0,29.75,2248.952223240239
416,480.0,30.0,2288.009982343399
420,484.0,30.25,2137.4268523250007
424,488.0,30.5,1542.2650415499263
428,492.0,30.75,2134.8727014205315
432,496.0,31.0,1942.5369789208544
436,500.0,31.25,2316.560847891056
440,504.0,31.5,1896.261681552358
444,508.0,31.75,1603.0351766394313
448,512.0,32.0,2086.7343687329576
452,516.0,32.25,1839.9310124580145
456,520.0,32.5,2468.3986181341934
460,524.0,32.75,1786.974107435853
464,528.0,33.0,1770.6149566813897
468,532.0,33.25,2225.5618505115435
472,536.0,33.5,1971.2515675707375
476,540.0,33.75,2610.0455230298785
480,544.0,34.0,1925.2979163107957
484,548.0,34.25,1980.437169117149
488,552.0,34.5,2434.025799772282
492,556.0,34.75,2243.1972620471347
496,560.0,35.0,2825.199952174402
500,564.0,35.25,1888.8874181676247
504,568.0,35.5,2086.4418229793564
508,572.0,35.75,2724.123292093496
512,576.0,36.0,2598.2749662873016
516,580.0,36.25,2409.819506106117
520,584.0,36.5,2291.2888673651973
524,588.0,36.75,2100.0906735411536
528,592.0,37.0,2577.277969788584
532,596.0,37.25,2558.3549555835352
536,600.0,37.5,2419.746196752512
540,604.0,37.75,2199.697070504521
544,608.0,38.0,2190.910045867547
548,612.0,38.25,2833.3064316787777
552,616.0,38.5,2584.4411356238943
556,620.0,38.75,2394.266977468564
560,624.0,39.0,2138.8868908817035
564,628.0,39.25,2166.853664457295
568,632.0,39.5,2905.160533422877
572,636.0,39.75,2709.833745377245
576,640.0,40.0,2436.679863917473
580,644.0,40.25,2237.999416966524
584,648.0,40.5,2375.4177097949373
588,652.0,40.75,2983.7897588390406
592,656.0,41.0,2732.7337583245762
596,660.0,41.25,2311.709207446685
600,664.0,41.5,2088.382622192199
604,668.0,41.75,2360.605360945044
608,672.0,42.0,2814.1303403622537
612,676.0,42.25,2668.183370280043
616,680.0,42.5,2290.2042935262048
620,684.0,42.75,1866.4948700287398
624,688.0,43.0,2404.9534274921803
628,692.0,43.25,2824.7840332324977
632,696.0,43.5,2784.3156195882484
636,700.0,43.75,2327.6206813055546
640,704.0,44.0,1763.2054723895333
644,708.0,44.25,3538.4315314168302
648,712.0,44.5,3889.4903434911716
652,716.0,44.75,4263.049359227926
656,720.0,45.0,2551.4984840778593
660,724.0,45.25,1492.853248418208
664,728.0,45.5,3189.901489951873
668,732.0,45.75,3549.177248461977
672,736.0,46.0,4171.509713332757
676,740.0,46.25,2390.123752679602
680,744.0,46.5,1458.156799988436
684,748.0,46.75,2946.134680633713
688,752.0,47.0,3301.656077462718
692,756.0,47.25,4102.623947047784
696,760.0,47.5,2334.9805701226896
700,764.0,47.75,1331.4719078795686
704,768.0,48.0,2630.2866967252326
708,772.0,48.25,2965.843361000459
712,776.0,48.5,3949.3059726329766
716,780.0,48.75,2286.4487996783
720,784.0,49.0,1376.130444597268
724,788.0,49.25,2427.2179818619343
728,792.0,49.5,2878.8858515639936
732,796.0,49.75,4024.7267008779195
736,800.0,50.0,2373.3503868157013
740,804.0,50.25,1472.4629870113067
744,808.0,50.5,2379.528234402336
748,812.0,50.75,2858.2136991425605
752,816.0,51.0,4076.1577015813496
756,820.0,51.25,2497.618470965354
760,824.0,51.5,1685.5918774260892
764,828.0,51.75,2049.765400296479
768,832.0,52.0,2652.9331591363316
772,836.0,52.25,2993.8932153724522
776,840.0,52.5,2821.013968495557
780,844.0,52.75,2046.5297593341659
784,848.0,53.0,1529.886703896438
788,852.0,53.25,2727.476617678342
792,856.0,53.5,2992.6784318969067
796,860.0,53.75,2744.944830132057
800,864.0,54.0,2028.5824227745252
804,868.0,54.25,1602.1490204197119
808,872.0,54.5,2573.050363518248
812,876.0,54.75,2845.7148078000932
816,880.0,55.0,2667.825588087238
820,884.0,55.25,1962.937409216164
824,888.0,55.5,1590.299062022028
828,892.0,55.75,2524.6857189974426
832,896.0,56.0,2774.218373271012
836,900.0,56.25,2729.807283182975
840,904.0,56.5,2039.3484243911905
844,908.0,56.75,1701.5591443033197
848,912.0,57.0,2484.2794625731444
852,916.0,57.25,2724.693264027171
856,920.0,57.5,2716.283291910806
860,924.0,57.75,2164.0589967905653
864,928.0,58.0,1731.6778926996644
868,932.0,58.25,2278.6263021172485
872,936.0,58.5,2626.7087887042894
876,940.0,58.75,2620.163753219294
880,944.0,59.0,2220.621336494719
884,948.0,59.25,1838.0137540137473
888,952.0,59.5,2221.992436675929
892,956.0,59.75,2619.1564486283155
896,960.0,60.0,2478.321604759368
900,964.0,60.25,1179.3447823036668
904,968.0,60.5,535.5610397812661
908,972.0,60.75,2152.1146731313465
912,976.0,61.0,2040.6469726486666
916,980.0,61.25,2403.6979539791696
920,984.0,61.5,1103.8307458333713
924,988.0,61.75,453.0993557995291
928,992.0,62.0,1807.2254248060165
932,996.0,62.25,1798.7486612244875
936,1000.0,62.5,2266.5882570382855
940,1004.0,62.75,1052.7705445115625
944,1008.0,63.0,558.4306408415596
948,1012.0,63.25,1444.9137896497919
952,1016.0,63.5,1554.1117620457362
956,1020.0,63.75,2156.9348221891214
960,1024.0,64.0,1209.8688543065305
964,1028.0,64.25,879.5441867301419
968,1032.0,64.5,1156.2849338997228
972,1036.0,64.75,1400.2027381491805
976,1040.0,65.0,2274.705754439544
980,1044.0,65.25,1444.5839697390293
984,1048.0,65.5,1170.7726961788228
988,1052.0,65.75,937.4166214950716
992,1056.0,66.0,1278.9382898394715
996,1060.0,66.25,2343.8033244341023
1000,1064.0,66.5,1510.167237689837
1004,1068.0,66.75,1401.0277848035203
1008,1072.0,67.0,723.6305041012308
1012,1076.0,67.25,1148.2551314104603
1016,1080.0,67.5,2444.8954657469817
1020,1084.0,67.75,1848.444503803783
1024,1088.0,68.0,1861.241258780527
1028,1092.0,68.25,1837.4655649130252
1032,1096.0,68.5,2204.1895700267746
1036,1100.0,68.75,2325.7972223726792
1040,1104.0,69.0,2336.02437713796
1044,1108.0,69.25,1855.4669860887143
1048,1112.0,69.5,1673.7046148460433
1052,1116.0,69.75,2038.0292213259388
1056,1120.0,70.0,2344.6951851286944
1060,1124.0,70.25,2499.4065678266447
1064,1128.0,70.5,2029.0705951698342
1068,1132.0,70.75,1786.7169661417895
1072,1136.0,71.0,2140.3626476113386
1076,1140.0,71.25,2357.207852326802
1080,1144.0,71.5,2460.956167836641
1084,1148.0,71.75,1939.7003579406703
1088,1152.0,72.0,1550.5875695618367
1092,1156.0,72.25,2044.189128542785
1096,1160.0,72.5,2270.4524553777965
1100,1164.0,72.75,2314.473077968894
1104,1168.0,73.0,1880.167905203782
1108,1172.0,73.25,1408.7404891889244
1112,1176.0,73.5,2059.1070408498217
1116,1180.0,73.75,2355.273045013333
1120,1184.0,74.0,2553.3523462233748
1124,1188.0,74.25,2030.581609560028
1128,1192.0,74.5,1597.7833650071457
1132,1196.0,74.75,2171.4925141359627
1136,1200.0,75.0,2526.876514642677
1140,1204.0,75.25,2666.8223668951196
1144,1208.0,75.5,2084.8717497922685
1148,1212.0,75.75,1655.8065460036414
1152,1216.0,76.0,2256.1921823898906
1156,1220.0,76.25,1705.4984949714378
1160,1224.0,76.5,1607.3710919052426
1164,1228.0,76.75,816.8915842187263
1168,1232.0,77.0,561.3535170778875
1172,1236.0,77.25,2034.6145512096102
1176,1240.0,77.5,1577.631522301312
1180,1244.0,77.75,1551.9756683902992
1184,1248.0,78.0,694.8573067086043
1188,1252.0,78.25,291.3458088742032
1192,1256.0,78.5,1683.7022327896418
1196,1260.0,78.75,1163.347487765365
1200,1264.0,79.0,1308.1547231243035
1204,1268.0,79.25,376.0833616154746
1208,1272.0,79.5,32.74089873146448
1212,1276.0,79.75,1371.7991220003653
1216,1280.0,80.0,977.8203075842273
1220,1284.0,80.25,1313.2455900289065
1224,1288.0,80.5,417.4395262494974
1228,1292.0,80.75,307.8866847682109
1232,1296.0,81.0,1065.5340869609884
1236,1300.0,81.25,761.5239551894185
1240,1304.0,81.5,1200.7354469506054
1244,1308.0,81.75,509.1895265106998
1248,1312.0,82.0,609.4915760303523
1252,1316.0,82.25,644.4172180718184
1256,1320.0,82.5,415.5687697315096
1260,1324.0,82.75,1211.3531396453313
1264,1328.0,83.0,790.002427599843
1268,1332.0,83.25,1014.9816676006767
1272,1336.0,83.5,318.39286043115624
1276,1340.0,83.75,617.5753787915652
1280,1344.0,84.0,1497.0572151723138
1284,1348.0,84.25,1866.475189077091
1288,1352.0,84.5,1718.3844019673923
1292,1356.0,84.75,2579.709826434422
1296,1360.0,85.0,1957.580425499913
1300,1364.0,85.25,1451.9913165196097
1304,1368.0,85.5,1846.7988761210113
1308,1372.0,85.75,1714.3396326296288
1312,1376.0,86.0,2611.446410422184
1316,1380.0,86.25,1946.5377558084974
1320,1384.0,86.5,1399.9060296085115
1324,1388.0,86.75,1827.7551387610629
1328,1392.0,87.0,1676.2667022286018
1332,1396.0,87.25,2596.1920272300267
1336,1400.0,87.5,1916.1438661991485
1340,1404.0,87.75,1302.8928680869362
1344,1408.0,88.0,1661.160554165416
1348,1412.0,88.25,1649.9046864028096
1352,1416.0,88.5,2570.510338499639
1356,1420.0,88.75,1893.0496383809018
1360,1424.0,89.0,1384.266556107105
1364,1428.0,89.25,1831.764916175496
1368,1432.0,89.5,1844.4842413384688
1372,1436.0,89.75,2718.543044686464
1376,1440.0,90.0,2017.2379760550175
1380,1444.0,90.25,1414.6682584909192
1384,1448.0,90.5,1899.795919447052
1388,1452.0,90.75,1914.3602292931644
1392,1456.0,91.0,2728.164055384941
1396,1460.0,91.25,2016.5342900287917
1400,1464.0,91.5,1410.6674656259265
1404,1468.0,91.75,1776.1572487877547
1408,1472.0,92.0,1877.4952251518816
1412,1476.0,92.25,1865.3937656766543
1416,1480.0,92.5,2053.607156605963
1420,1484.0,92.75,1313.7966181496818
